Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
UKHRUL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
SHILLONG,40,34,33,75,118,110,113,103,44,72,NR,132,130,123,NR,NR,70,300,30,25,35,33,2023-06-16,25.5760446,91.8825282,NORTH EAST ZONE
TURA,32,40,40,75,140,120,115,92,45,72,NR,140,NR,125,150,105,80,500,20,23,30,50,2023-06-16,47.3900474,0.6889268,NORTH EAST ZONE
JOWAI,35,38,37,90,100,110,115,90,45,72,NR,130,NR,140,200,135,70,360,30,20,35,40,2023-06-16,25.441116,92.1955478,NORTH EAST ZONE
SOHRA,35,37,37,NR,110,130,103,83,46,72,NR,115,NR,115,NR,NR,100,330,30,25,40,40,2023-06-16,25.2837969,91.7193603,NORTH EAST ZONE
MAIRANG,36,36,38,NR,NR,NR,NR,88,46,72,NR,115,NR,115,NR,NR,NR,340,12,22,35,35,2023-06-16,25.6734009,91.6414272,NORTH EAST ZONE
NONGPOH,35,35,35,77,120,140,107,88,45,72,143,120,143,130,220,148,60,290,20,20,30,40,2023-06-16,,,
KHLIEHRIAT,33,36,34,71,128,128,113,87,43,70,NR,150,133,153,NR,NR,73,300,30,24,28,30,2023-06-16,,,
WILLIAMNAGAR,32,45,45,80,132,NR,117,90,45,70,NR,150,NR,189,NR,135,NR,470,15,20,30,36,2023-06-16,,,
NONGSTOIN,27,38,38,NR,NR,NR,117,98,50,72,NR,155,158,158,172,172,NR,360,17,28,38,50,2023-06-16,,,
MAWKYRWAT,39,38,37,NR,115,NR,120,93,47,75,NR,145,NR,145,NR,NR,NR,363,30,19,24,NR,2023-06-16,,,
AIZAWL,45,40,40,100,130,130,120,130,53,72,194,194,183,194,202,147,120,123,25,40,40,60,2023-06-16,23.7435236,92.7382905,NORTH EAST ZONE
LUNGLEI,50,40,45,98,NR,NR,120,105,50,75,NR,190,220,150,NR,NR,100,130,25,40,60,70,2023-06-16,,,
KOLASIB,44,40,41,92,120,130,102,95,48,75,NR,190,NR,132,220,135,100,320,25,28,42,63,2023-06-16,,,
MAMIT,50,NR,40,NR,NR,NR,NR,110,50,75,NR,NR,NR,150,NR,NR,NR,130,30,40,50,40,2023-06-16,,,
CHAMPHAI,50,NR,50,NR,NR,NR,NR,107,50,80,NR,NR,NR,120,NR,NR,150,160,30,50,53,80,2023-06-16,,,
SERCHHIP,36,NR,45,NR,NR,NR,NR,108,47,79,NR,230,200,135,NR,NR,100,185,30,33,38,80,2023-06-16,,,
SIAHA,47,45,42,117,NR,NR,NR,NR,50,70,NR,238,NR,177,NR,NR,NR,133,30,40,60,NR,2023-06-16,,,
LAWNGTLAI,44,39,39,80,110,100,110,100,50,60,180,180,96,177,110,110,47,520,23,35,53,52,2023-06-16,,,
HNAHTHIAL,45,NR,45,80,80,110,130,95,50,76,NR,140,NR,140,NR,NR,80,130,30,20,37,NR,2023-06-16,,,
KHAWZAWL,40,NR,45,100,137,NR,140,98,50,75,150,175,NR,148,NR,NR,NR,140,30,37,53,67,2023-06-16,,,
SAITUAL,50,40,NR,110,NR,100,NR,95,50,80,NR,230,NR,150,NR,NR,NR,NR,30,35,40,60,2023-06-16,,,
KOHIMA,40,NR,50,100,120,100,120,120,50,55,NR,130,210,190,NR,NR,NR,360,18,30,45,45,2023-06-16,25.75,94.166667,NORTH EAST ZONE
DIMAPUR,33,40,35,70,120,105,120,83,44,80,210,150,200,170,210,165,80,210,15,24,35,45,2023-06-16,25.9136459,93.7283456,NORTH EAST ZONE
TUENSANG,37,38,55,100,NR,NR,120,100,50,NR,NR,160,NR,165,NR,NR,NR,275,20,30,40,40,2023-06-16,26.1685055,94.8581982,NORTH EAST ZONE
MOKOCHUNG,42,35,60,85,110,138,120,90,50,72,180,130,190,180,180,180,80,350,15,25,35,35,2023-06-16,,,
CHUMUKEDIMA,30,NR,35,70,120,105,110,85,50,70,NR,105,NR,110,NR,NR,70,310,NR,20,40,NR,2023-06-16,,,
MON,35,NR,50,120,NR,NR,130,100,50,70,NR,160,NR,150,NR,NR,60,350,15,20,40,45,2023-06-16,,,
PEREN,35,40,40,120,120,140,120,100,50,72,NR,160,NR,168,NR,NR,80,345,15,28,40,48,2023-06-16,,,
PHEK,30,50,50,100,140,140,140,100,50,72,NR,160,NR,170,NR,NR,NR,350,20,30,60,50,2023-06-16,,,
TSEMINYU,45,NR,46,120,NR,120,120,100,50,70,NR,140,NR,150,NR,NR,NR,360,15,30,40,42,2023-06-16,,,
WOKHA,43,NR,43,100,123,125,120,100,50,68,NR,160,200,180,NR,NR,NR,290,15,36,40,46,2023-06-16,,,
ZUNHEBOTO,50,NR,50,NR,120,NR,140,95,45,73,NR,150,NR,140,190,NR,NR,400,18,25,50,60,2023-06-16,,,
KIPHIRE,37,NR,45,90,140,NR,115,100,50,70,NR,120,NR,140,NR,NR,75,350,18,30,60,60,2023-06-16,,,
LONGLENG,38,40,50,NR,150,NR,120,100,70,75,NR,160,NR,180,NR,NR,80,350,20,25,40,60,2023-06-16,,,
NIULAND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
SHAMATOR,46,40,50,110,100,100,100,100,50,50,NR,190,210,185,135,110,100,160,20,25,50,50,2023-06-16,,,
NOKLAK,36,40,60,90,100,NR,NR,105,50,NR,NR,180,NR,180,NR,NR,NR,NR,20,25,50,50,2023-06-16,,,
GANGTOK,53,40,47,85,135,128,123,95,48,62,NR,176,132,159,181,NR,60,547,17,33,30,38,2023-06-16,27.329046,88.6122673,NORTH EAST ZONE
GYALSHING,45,40,45,80,120,120,120,110,50,62,NR,180,140,170,190,NR,60,420,20,20,25,25,2023-06-16,,,
NAMCHI,58,32,45,80,120,130,106,92,45,62,NR,183,114,167,190,NR,50,420,21,35,35,35,2023-06-16,,,
SORENG,45,36,42,80,135,135,126,120,50,65,NR,198,135,168,196,NR,46,480,20,25,25,30,2023-06-16,,,
MANGAN,60,36,36,80,135,135,123,107,50,60,NR,187,167,NR,210,NR,66,343,17,28,40,40,2023-06-16,,,
AGARTALA,37,NR,35,71,122,114,110,110,46,70,NR,131,143,115,155,105,70,197,10,22,30,40,2023-06-16,23.8312377,91.2823821,NORTH EAST ZONE
DHARMANAGAR,35,NR,37,77,110,111,94,100,43,69,NR,147,130,143,200,118,53,220,10,25,28,42,2023-06-16,,,
BELONIA,32,NR,42,NR,NR,NR,102,111,45,68,NR,173,NR,157,188,117,85,265,10,22,25,57,2023-06-16,,,
TR-UDAIPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
VIJAYWADA,55,46,54,78,169,132,127,102,43,68,181,179,129,NR,121,95,57,297,19,33,30,31,2023-06-16,16.511298,80.6346206,SOUTH ZONE
VISAKHAPATNAM,45,35,38,70,140,120,109,95,42,54,183,149,100,NR,108,90,55,280,23,21,20,44,2023-06-16,17.7231276,83.3012842,SOUTH ZONE
KURNOOL,58,42,42,74,146,125,123,112,41,63,165,195,133,NR,114,88,60,450,24,33,20,45,2023-06-16,15.8309251,78.0425373,SOUTH ZONE
TIRUPATHI,60,40,40,70,120,120,110,100,45,46,171,217,111,150,162,119,58,383,20,31,23,31,2023-06-16,13.6269139,79.3866426,SOUTH ZONE
JAMMALAMADUGU,40,40,42,65,100,110,110,100,35,60,182,258,120,200,130,120,54,200,20,40,20,20,2023-06-16,14.8260415,78.3990388,SOUTH ZONE
DHARMAVARAM,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
PRAKASAM,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
BENGALURU,51,42,39,70,148,125,119,95,44,43,205,153,99,152,115,95,67,430,18,22,14,30,2023-06-16,12.9767936,77.590082,SOUTH ZONE
DHARWAD,51,42,61,78,156,138,125,121,40,46,209,159,157,110,113,97,53,393,26,26,19,35,2023-06-16,15.4540505,75.0066516,SOUTH ZONE
MANGALORE,48,47,55,63,123,105,105,92,36,44,174,201,141,143,143,116,58,371,14,24,19,19,2023-06-16,12.8698101,74.8430082,SOUTH ZONE
MYSORE,50,42,53,98,139,115,113,101,40,40,194,188,167,156,134,108,61,340,19,29,19,17,2023-06-16,12.3051828,76.6553609,SOUTH ZONE
BENGALURU (EAST RANGE),63,42,36,80,156,116,115,96,42,42,147,188,98,128,120,97,52,240,15,32,28,38,2023-06-16,52.4945412,-0.6829023,SOUTH ZONE
BELAGAVI,54,38,45,72,150,123,112,81,50,50,188,164,102,115,118,104,48,273,19,28,22,31,2023-06-16,15.8572666,74.5069343,SOUTH ZONE
KALABURAGI,54,39,38,66,123,110,115,86,38,51,181,160,110,146,143,100,41,248,18,24,13,14,2023-06-16,17.166667,77.083333,SOUTH ZONE
TUMAKURU,55,39,43,75,144,126,120,94,41,47,195,167,133,123,118,95,58,297,17,27,23,43,2023-06-16,13.3400771,77.1006208,SOUTH ZONE
BELLARY,54,39,43,71,145,124,117,98,40,45,188,150,96,131,105,92,49,195,25,27,19,37,2023-06-16,15.1433952,76.9193876,SOUTH ZONE
DHAVANAGERE,58,42,63,72,152,127,119,107,40,45,167,178,122,133,116,92,58,302,27,29,20,34,2023-06-16,14.4644,75.9218,SOUTH ZONE
SHIVAMOGGA,50,42,37,79,155,130,130,109,40,46,193,195,102,135,117,93,47,243,25,25,25,26,2023-06-16,13.9326093,75.574978,SOUTH ZONE
VIJAYAPUR,49,42,39,89,136,131,126,115,44,52,216,197,172,132,134,117,61,305,21,27,18,41,2023-06-16,16.8054103,75.7179353,SOUTH ZONE
RAMANAGARA,50,40,40,77,135,130,123,113,40,44,173,190,100,150,117,100,50,188,17,30,19,14,2023-06-16,,,
RAICHUR,51,39,38,90,118,113,111,98,40,NR,176,168,165,146,135,106,49,287,13,23,27,23,2023-06-16,,,
CHAMARAJANAGAR,52,42,38,73,145,127,120,82,40,40,198,180,117,NR,117,102,60,593,20,30,19,24,2023-06-16,,,
KOLAR,48,38,42,119,123,115,116,114,39,46,169,150,161,139,126,102,51,327,11,23,15,15,2023-06-16,,,
HAVERI,51,40,43,128,142,132,132,87,39,64,147,157,133,141,142,93,43,247,9,38,38,32,2023-06-16,,,
BAGALKOT,51,43,45,71,125,126,105,94,38,50,188,211,118,148,147,103,42,420,26,32,30,20,2023-06-16,,,
BIDAR,49,41,44,64,117,117,91,90,36,60,194,178,119,143,156,110,36,295,30,34,32,29,2023-06-16,,,
KOPPAL,52,42,44,73,113,122,115,101,43,43,153,173,136,165,140,107,44,256,13,37,32,15,2023-06-16,,,
MANDYA,47,44,42,79,145,130,115,102,42,40,198,198,108,170,117,96,54,323,16,27,21,22,2023-06-16,,,
YADGIR,57,43,47,68,127,127,120,107,39,52,182,182,118,153,152,105,47,408,26,37,32,30,2023-06-16,,,
CHIKKAMAGALUR,46,41,41,93,137,127,132,107,42,45,185,165,104,122,125,102,58,242,15,25,23,34,2023-06-16,,,
BANGALORE RURAL,47,36,53,83,145,140,118,110,39,42,190,157,113,155,150,99,49,245,15,24,15,29,2023-06-16,,,
CHIKKABALLAPUR,46,42,38,82,125,127,105,87,40,42,200,183,110,178,153,100,50,415,18,40,34,22,2023-06-16,,,
CHITRADURGA,60,37,50,75,130,138,125,131,38,47,145,188,142,149,157,107,45,306,27,27,15,30,2023-06-16,,,
GADAG,50,43,46,85,116,118,115,106,42,51,176,182,110,161,136,110,42,316,12,22,20,21,2023-06-16,,,
HASSAN,45,39,57,69,122,115,97,88,38,46,160,182,107,150,145,94,49,230,15,27,27,28,2023-06-16,,,
KODAGU,52,41,47,108,138,138,118,118,41,46,172,182,158,162,118,98,41,215,15,32,22,23,2023-06-16,,,
UDUPI,51,46,52,94,113,138,112,126,40,44,160,181,114,149,161,103,41,278,28,31,21,35,2023-06-16,,,
UTTARA KANNADA,48,42,37,86,117,115,119,99,44,47,216,199,142,154,132,114,47,251,28,32,22,24,2023-06-16,,,
VIJAYANAGARA,60,47,47,73,141,115,123,94,42,46,174,166,123,131,128,100,43,233,13,29,22,21,2023-06-16,,,
T.PURAM,55,40,49,98,150,140,125,105,42,52,237,177,155,NR,127,103,86,267,16,37,25,53,2023-06-16,13.0064917,76.1005354,SOUTH ZONE
ERNAKULAM,50,40,44,95,158,152,137,114,44,56,209,188,150,NR,125,105,61,232,16,33,25,60,2023-06-16,9.98408,76.2741457,SOUTH ZONE
KOZHIKODE,41,48,47,83,140,127,126,117,41,53,207,202,152,NR,117,104,61,227,15,27,22,37,2023-06-16,11.2450558,75.7754716,SOUTH ZONE
THRISSUR,50,44,54,100,151,135,136,124,45,54,233,218,161,NR,130,115,63,259,15,35,23,39,2023-06-16,10.5256264,76.2132542,SOUTH ZONE
PALAKKAD,43,43,48,82,157,136,125,100,42,50,220,193,148,NR,117,93,51,253,12,31,22,45,2023-06-16,10.7878985,76.4740871,SOUTH ZONE
WAYANAD,45,49,42,92,159,132,133,99,41,52,NR,211,165,NR,124,101,58,220,15,28,24,48,2023-06-16,11.715219,76.1269029,SOUTH ZONE
KASARGOD,48,48,50,88,144,126,98,96,40,61,NR,NR,160,NR,106,92,52,240,14,27,21,39,2023-06-16,12.4914722,74.9877613,SOUTH ZONE
KOTTAYAM,54,39,45,131,140,123,120,104,43,56,NR,211,157,NR,127,98,62,242,13,38,27,68,2023-06-16,9.6287383,76.6455326,SOUTH ZONE
PATHANAMTHITTA,55,34,38,95,123,135,143,123,42,53,NR,248,190,NR,123,100,65,237,14,35,26,50,2023-06-16,9.2780841,76.9737443,SOUTH ZONE
ALAPUZHA,49,46,65,96,152,138,141,119,41,52,NR,NR,156,NR,123,NR,60,197,13,31,21,51,2023-06-16,,,
KOLLAM,41,49,44,96,161,135,143,110,45,52,245,NR,165,NR,127,109,65,230,15,40,27,63,2023-06-16,,,
IDUKKI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-16,,,
KANNUR,51,46,45,91,152,145,147,104,NR,NR,NR,NR,170,NR,122,96,NR,NR,NR,NR,NR,NR,2023-06-16,,,
MALAPURAM,47,47,45,82,147,131,121,125,41,52,228,197,154,NR,137,98,55,243,15,28,22,38,2023-06-16,,,
PUDUCHERRY,42,40,34,80,150,125,120,90,38,42,206,168,149,NR,119,104,45,360,25,NR,NR,NR,2023-06-16,11.9340568,79.8306447,SOUTH ZONE
CHENNAI,59,39,39,73,157,130,122,92,42,40,191,167,105,NR,111,83,63,303,27,26,19,38,2023-06-16,13.0836939,80.270186,SOUTH ZONE
DINDIGUL,57,44,47,75,150,126,115,90,40,43,220,195,114,NR,122,95,55,300,25,30,25,40,2023-06-16,10.3303299,78.0673979,SOUTH ZONE
THIRUCHIRAPALLI,58,41,61,75,148,126,116,107,41,43,207,187,129,NR,124,92,57,NR,26,32,24,42,2023-06-16,10.7905,78.7047,SOUTH ZONE
COIMBATORE,41,38,39,73,148,123,109,78,43,40,228,146,130,NR,113,93,56,245,26,28,22,41,2023-06-16,11.0018115,76.9628425,SOUTH ZONE
TIRUNELVELI,40,40,60,75,147,125,113,90,41,40,220,169,109,NR,115,88,49,249,25,27,21,44,2023-06-16,8.72953,77.6852,SOUTH ZONE
CUDDALORE,57,47,54,86,148,133,120,110,39,46,193,212,187,NR,124,96,51,300,22,42,23,39,2023-06-16,11.7564329,79.7634644,SOUTH ZONE
DHARMAPURI,52,44,40,70,148,124,110,85,40,43,225,NR,115,NR,123,99,48,270,25,30,20,40,2023-06-16,12.0968048,78.193043,SOUTH ZONE
VELLORE,55,43,42,78,155,130,120,87,41,40,208,197,123,NR,125,97,53,263,26,38,30,43,2023-06-16,12.7948109,79.0006411,SOUTH ZONE
RAMANATHAPURAM,52,38,49,71,148,131,113,89,41,43,224,235,122,NR,126,101,49,273,26,36,31,41,2023-06-16,9.3895523,78.8590707,SOUTH ZONE
ERODE,60,44,40,78,149,125,119,84,42,45,212,192,126,NR,112,93,51,595,26,30,22,41,2023-06-16,,,
KARUR,42,47,59,70,155,126,111,76,40,43,218,171,118,NR,118,94,51,298,11,32,25,43,2023-06-16,,,
PERAMBALUR,50,NR,53,75,152,130,112,90,42,40,198,185,120,NR,118,87,51,NR,27,30,25,50,2023-06-16,,,
PUDUKKOTTAI,49,43,63,76,157,133,120,98,43,45,238,222,160,NR,114,97,52,NR,27,30,30,50,2023-06-16,,,
SIVAGANGAI,52,42,60,80,155,130,120,85,42,44,220,233,131,NR,126,99,52,275,26,40,25,53,2023-06-16,,,
THANJAVUR,47,45,48,75,158,135,117,90,40,42,200,200,126,NR,109,90,52,240,21,29,21,43,2023-06-16,,,
THE NILGIRIS,65,42,43,83,150,132,122,91,42,54,207,197,108,NR,118,98,59,200,28,50,25,16,2023-06-16,,,
THOOTHUKUDI,51,43,57,73,152,127,115,86,43,40,219,207,125,NR,112,88,54,306,11,30,28,32,2023-06-16,,,
VILUPPURAM,53,47,39,77,155,130,119,94,40,45,185,182,118,NR,111,93,55,NR,26,35,20,37,2023-06-16,,,
VIRUDHUNAGAR,55,41,59,69,148,126,117,79,41,45,203,192,151,NR,114,89,52,293,28,38,27,37,2023-06-16,,,
KANNIYAKUMARI,49,35,51,77,146,127,111,114,44,41,217,182,135,NR,117,88,56,258,25,29,26,52,2023-06-16,,,
NAMAKKAL,56,46,62,76,153,127,115,89,40,44,203,188,117,NR,110,90,50,NR,26,30,25,48,2023-06-16,,,
TIRUVANNAMALAI,55,47,40,76,154,131,120,99,42,65,205,188,118,NR,113,98,60,280,27,28,24,33,2023-06-16,,,
HYDERABAD,53,38,38,66,127,105,105,94,37,52,163,140,100,120,110,90,51,267,16,22,20,20,2023-06-16,17.360589,78.4740613,SOUTH ZONE
KARIMNAGAR,39,40,56,72,131,121,113,86,41,60,166,152,95,NR,118,90,57,307,24,28,17,42,2023-06-16,18.4346438,79.1322648,SOUTH ZONE
WARANGAL,44,37,37,70,106,107,97,88,41,55,166,168,141,162,163,106,54,274,15,29,26,32,2023-06-16,17.9819448,79.5969982,SOUTH ZONE
ADILABAD,51,36,44,69,117,109,107,78,38,70,175,202,109,170,115,100,53,257,21,25,23,47,2023-06-16,19.5,78.5,SOUTH ZONE
SURYAPET,35,35,29,95,113,107,102,96,42,60,182,187,160,NR,132,105,55,282,20,26,36,50,2023-06-16,17.0800139,79.792533,SOUTH ZONE
JADCHERLA,40,30,50,75,110,125,110,95,39,57,170,178,126,NR,184,140,55,292,14,15,15,23,2023-06-16,16.7699159,78.1377227,SOUTH ZONE
KHAMMAM,48,33,37,61,102,107,95,87,38,71,156,176,111,167,144,119,50,320,20,44,42,41,2023-06-16,,,
MEDCHAL,56,40,40,65,112,113,107,85,38,61,169,198,122,142,124,105,44,260,18,25,15,21,2023-06-16,,,
NIZAMABAD,45,44,39,79,119,109,109,111,42,75,180,192,108,NR,128,115,65,341,13,35,36,13,2023-06-16,,,
SANGAREDDY,43,38,40,67,112,116,106,84,40,65,159,174,136,158,159,113,60,393,22,33,18,28,2023-06-16,,,
